avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0,76.58,12009.82,2175.393,2180.7944,857358.68,2020-12-01T14:35:43.832+09:00
2439,0.08,76.26,11981.16,2169.9846,2175.9666,857701.22,2020-12-01T14:40:34.350+09:00
2439,0.09,75.76,12027.38,2179.946,2186.7188,850379.46,2020-12-01T14:45:23.987+09:00
2439,0.05,75.7,12011.78,2180.1738,2188.0578,850099.24,2020-12-01T14:50:44.365+09:00
2439,0.08,75.8,12020.72,2188.4506,2197.957,849629.64,2020-12-01T14:55:34.215+09:00
2439,0.07,75.94,12031.28,2192.876,2195.152,849230.52,2020-12-01T15:00:24.178+09:00
2439,0.06,75.78,12054.44,2189.3148,2187.618,849668.68,2020-12-01T15:05:45.524+09:00
2439,0.08,74.94,12034.42,2191.3934,2190.2728,856555.06,2020-12-01T15:10:36.715+09:00
2439,0.11,75.16,12014.98,2192.4208,2192.2158,856467.48,2020-12-01T15:15:27.134+09:00
2439,0.09,75.42,11986.02,2198.0004,2197.4012,856217.36,2020-12-01T15:20:47.324+09:00
2439,0.09,75.9,11974.98,2196.0374,2198.183,856236.2,2020-12-01T15:25:37.516+09:00
2439,0.22,75.72,11975.74,2195.3432,2199.4092,856187.36,2020-12-01T15:30:29.363+09:00
2439,0.1,76.38,11976.66,2200.7114,2206.0478,855972.28,2020-12-01T15:35:22.411+09:00
2439,0.12,76.7,11951.4,2203.2572,2208.3394,848786.4,2020-12-01T15:40:43.279+09:00
2439,0.1,77.36,11979.94,2206.1418,2212.1966,848562.04,2020-12-01T15:45:34.029+09:00
2439,0,77.82,11939.98,2212.398,2217.208,848201.96,2020-12-01T15:50:23.673+09:00
2439,0.09,79.02,11920,2212.5984,2217.8938,848146.92,2020-12-01T15:55:46.244+09:00
2439,0.08,78.88,11913.54,2210.224,2214.274,848201.96,2020-12-01T16:00:35.217+09:00
2439,0.2,78.92,11950.52,2212.316,2217.9544,847839.1,2020-12-01T16:05:25.020+09:00
2439,0.09,78,11963.36,2206.7388,2216.2202,855245.32,2020-12-01T16:15:33.074+09:00
2439,0.09,78.2,11971.36,2208.5374,2218.3198,855084.54,2020-12-01T16:20:22.344+09:00
2439,0.07,77.44,11980.78,2207.3756,2218.2402,855381.92,2020-12-01T16:25:43.541+09:00
2439,0.1,77.32,12011.68,2210.2712,2222.8972,855368.92,2020-12-01T16:30:36.040+09:00
2439,0.05,76.8,12006.78,2208.2464,2220.8796,855450.76,2020-12-01T16:35:26.736+09:00
2439,0.09,76.26,12030.22,2205.402,2218.9666,848592.56,2020-12-01T16:40:46.724+09:00
2439,0.07,75.4,12016.06,2201.8218,2215.9394,848818.66,2020-12-01T16:45:37.484+09:00
2439,0.07,74.98,12014.58,2200.4502,2212.145,849165.38,2020-12-01T16:55:46.028+09:00
2439,0.13,75.6,12009.7,2203.1654,2217.9272,849144.64,2020-12-01T17:00:36.051+09:00
2439,0.1,75.96,11986.3,2210.028,2224.0688,848677.38,2020-12-01T17:05:26.321+09:00
2439,0.61,75.86,12020.56,2218.0638,2233.076,855279.04,2020-12-01T17:10:46.189+09:00
2439,0.14,75.64,12052.34,2216.6982,2234.127,855348.3,2020-12-01T17:15:35.267+09:00
2439,0.07,75.32,12039.34,2220.8834,2238.789,855161.66,2020-12-01T17:20:24.457+09:00
2439,0.09,75,12024.1,2222.7436,2239.0288,854896.12,2020-12-01T17:25:43.182+09:00
2439,0.15,74.22,12053.06,2223.2236,2239.072,855031.52,2020-12-01T17:30:33.171+09:00
2439,0.1,74.22,12081.44,2227.6128,2243.4132,854711.48,2020-12-01T17:35:22.914+09:00
2439,0.1,74.26,12060.9,2226.5856,2240.2484,855003.86,2020-12-01T17:40:41.341+09:00
2439,0.15,75.56,12060.9,2231.1048,2245.1422,847598.12,2020-12-01T17:45:30.678+09:00
2439,0.08,75.34,12052.98,2234.5864,2247.336,847114.68,2020-12-01T17:50:19.978+09:00
2439,0.11,74.94,12077.12,2236.7114,2250.676,846954.48,2020-12-01T17:55:40.192+09:00
2439,0.1,74.92,12070.04,2242.7282,2256.701,846580.14,2020-12-01T18:00:29.120+09:00
2439,0.14,74.24,12088.48,2248.0246,2262.2126,846320.96,2020-12-01T18:05:49.031+09:00
2439,0.08,73.6,12071.88,2248.1108,2264.5522,853567,2020-12-01T18:10:37.723+09:00
2439,0.11,73.02,12102.14,2248.199,2263.8288,853687.14,2020-12-01T18:15:27.126+09:00
2439,0.09,73.76,12098.18,2249.7612,2269.6164,853603.36,2020-12-01T18:20:47.029+09:00
2439,0.1,72.44,12094.7,2247.3632,2269.9424,853817.68,2020-12-01T18:25:37.058+09:00
2439,0.07,72.5,12085.52,2242.0382,2262.9048,853776.46,2020-12-01T18:30:27.294+09:00
2439,0.11,72.5,12064.22,2244.7696,2264.8984,853480.26,2020-12-01T18:35:46.790+09:00
2439,0,72.48,12036.04,2249.6258,2268.7802,853140.86,2020-12-01T18:40:36.243+09:00
2439,0.08,72.82,12024.58,2238.9792,2261.0518,846729.54,2020-12-01T18:45:25.641+09:00
2439,0.1,72.94,12028.18,2239.2294,2262.4104,846803.38,2020-12-01T18:50:44.843+09:00
2439,0.16,72.84,12000.86,2235.1926,2257.286,847208.64,2020-12-01T19:00:23.062+09:00
2439,0.07,72.56,12044.3,2236.771,2259.1372,847334.3,2020-12-01T19:05:43.381+09:00
2439,0,72.6,12003.64,2229.0416,2250.1962,854418.06,2020-12-01T19:10:32.026+09:00
2439,0.21,72.6,11990.28,2229.473,2250.499,854395.6,2020-12-01T19:15:21.091+09:00
2439,0.05,72.88,11972.58,2224.8432,2246.7774,854506.96,2020-12-01T19:20:40.507+09:00
2439,0.05,72.6,11977.8,2224.5022,2251.1264,854381.44,2020-12-01T19:25:29.964+09:00
2439,0.11,72.42,11951.76,2229.1658,2256.876,853877.48,2020-12-01T19:35:38.816+09:00
2439,0,72.64,12008.32,2229.964,2261.818,853698.4,2020-12-01T19:40:27.996+09:00
2439,0.07,73.6,11989.26,2231.0836,2260.4488,846744.08,2020-12-01T19:45:46.810+09:00
2439,0.07,73.3,11991.62,2224.2746,2252.9452,847234.72,2020-12-01T19:50:35.193+09:00
2439,0.05,73.6,11971.64,2224.7806,2250.5882,847189.94,2020-12-01T19:55:23.785+09:00
2439,0.11,74.14,11972.2,2224.8282,2247.7542,847208.82,2020-12-01T20:00:43.554+09:00
2439,0.06,74.08,11991.78,2218.838,2242.2066,847368.5,2020-12-01T20:05:32.500+09:00
2439,0.05,73.8,11991.68,2218.2004,2243.3498,854340.18,2020-12-01T20:10:21.818+09:00
2439,0.05,73.64,11962.72,2215.2946,2240.314,854599.5,2020-12-01T20:15:41.659+09:00
2439,0.07,73.82,11985.1,2213.4716,2240.1598,854688.32,2020-12-01T20:20:30.279+09:00
2439,0.11,73.4,11989.42,2214.5952,2242.6252,854578.64,2020-12-01T20:30:38.920+09:00
2439,0.15,73.44,11995.84,2212.9644,2241.0786,854643.54,2020-12-01T20:35:27.729+09:00
2439,0.05,73.58,11946.24,2210.5662,2237.614,854915.16,2020-12-01T20:40:47.005+09:00
2439,0.09,73.62,11962.36,2214.3542,2242.2786,847592.42,2020-12-01T20:45:36.979+09:00
2439,0.05,73.44,11923.8,2215.0558,2241.484,847577.26,2020-12-01T20:50:25.929+09:00
2439,0.14,73.54,11916.16,2210.4694,2235.9264,847767.52,2020-12-01T20:55:45.676+09:00
2439,0.17,73.46,11897.54,2210.229,2235.609,847677.34,2020-12-01T21:00:35.052+09:00
2439,0.14,73.54,11905.5,2208.701,2236.467,847770.66,2020-12-01T21:05:23.711+09:00
2439,0.1,73.54,11878.84,2216.0402,2244.5536,854437.86,2020-12-01T21:10:42.373+09:00
2439,0.15,73.52,11874.8,2216.493,2242.2066,854366.84,2020-12-01T21:15:32.220+09:00
2439,0.05,74.12,11876.28,2218.6672,2244.429,854072.24,2020-12-01T21:20:22.907+09:00
2439,0.15,74.32,11881.32,2218.7286,2245.0706,853920.34,2020-12-01T21:25:41.972+09:00
2439,0.09,74.44,11875.76,2213.0248,2240.1946,854430.7,2020-12-01T21:30:31.506+09:00
2439,0.07,74.2,11877.92,2210.1408,2235.7456,854798.22,2020-12-01T21:35:21.377+09:00
2439,0.11,74.3,11870.5,2212.933,2240.5578,854459.64,2020-12-01T21:40:41.788+09:00
2439,0.09,74.82,11844.3,2209.3952,2235.1868,847567.92,2020-12-01T21:45:30.322+09:00
2439,0.1,75.4,11842.32,2211.7312,2241.832,847206.98,2020-12-01T21:50:20.548+09:00
2439,0.13,75.8,11813.36,2206.8454,2237.4616,847526.14,2020-12-01T21:55:40.734+09:00
2439,0.1,75.82,11778.9,2204.8438,2231.4246,847571.3,2020-12-01T22:00:30.573+09:00
2439,0.07,75.8,11783.14,2204.6974,2234.6342,847554.8,2020-12-01T22:05:19.521+09:00
2439,0.14,74.6,11769.46,2200.0856,2228.6824,855179.94,2020-12-01T22:10:39.874+09:00
2439,0.07,74.58,11772.9,2196.758,2224.4942,855427.1,2020-12-01T22:15:30.006+09:00
2439,0.05,74.74,11745.36,2193.6898,2220.2604,855433.82,2020-12-01T22:20:19.908+09:00
2439,0.1,74.76,11774.32,2189.5776,2215.1706,855741.34,2020-12-01T22:25:38.147+09:00
2439,0.05,74.94,11757.42,2184.9816,2210.4084,856116.28,2020-12-01T22:30:26.857+09:00
2439,0.13,76.2,11741.6,2185.8262,2211.4312,855901.24,2020-12-01T22:35:46.249+09:00
2439,0.05,76,11716.66,2189.1874,2215.2642,855563.06,2020-12-01T22:40:36.552+09:00
2439,0.08,75.86,11714.34,2183.4968,2208.5894,848658.64,2020-12-01T22:45:25.104+09:00
2439,0.12,75.96,11702.54,2182.224,2206.1728,848804.36,2020-12-01T22:50:44.046+09:00
2439,0.11,76.24,11701.02,2182.6294,2205.8454,849186.78,2020-12-01T22:55:33.500+09:00
2439,0.07,76.24,11708.36,2177.6936,2203.755,849437.86,2020-12-01T23:00:23.262+09:00
2439,0.13,76.94,11713.22,2175.4696,2202.614,849567.98,2020-12-01T23:05:42.367+09:00
2439,0.11,77.52,11715.48,2183.6156,2209.8708,856242.44,2020-12-01T23:15:19.589+09:00
2439,0.2,77.92,11722.8,2185.3208,2212.51,855978,2020-12-01T23:20:38.903+09:00
2439,0.07,77.86,11738.26,2189.8216,2218.412,855493.72,2020-12-01T23:25:28.757+09:00
2439,0,77.62,11718.06,2193.1806,2223.9556,855067.58,2020-12-01T23:30:47.520+09:00
2439,0.09,78.42,11724.64,2194.1552,2226.6878,855172.64,2020-12-01T23:35:38.119+09:00
2439,0.1,78.36,11762.2,2198.946,2230.9948,848251.96,2020-12-01T23:45:46.971+09:00
2439,0.07,78.8,11757.2,2195.2686,2224.6338,848751.96,2020-12-01T23:50:36.147+09:00
